airborne_time,r1_latitude,r1_longitude,r1_cloud_height_m,r1_temperature_mean_0_3000,r1_temperature_std_0_3000,r1_temperature_gradient_min,r1_cloud_ext_mean_0_3000,satellite_time,latitude,longitude,pbl_height_proxy_m,backscatter_gradient_min,backscatter_mean_0_500,backscatter_std_0_500,backscatter_mean_500_1500,backscatter_std_500_1500,backscatter_mean_1500_3000,backscatter_std_1500_3000,backscatter_mean_0_3000,backscatter_std_0_3000,backscatter_max_0_3000,extinction_mean_0_500,extinction_std_0_500,extinction_mean_500_1500,extinction_std_500_1500,extinction_mean_1500_3000,extinction_std_1500_3000,extinction_mean_0_3000,extinction_std_0_3000,extinction_max_0_3000,extinction_gradient_min,temperature_mean_0_3000,temperature_std_0_3000,temperature_gradient_min,pressure_mean_0_3000,pressure_std_0_3000,pressure_gradient_min,temporal_difference,temporal_difference_seconds,time
2022-01-11 13:54:56.999999998+00:00,37.782144333333335,-75.82844016666667,,,,,,2022-01-11 13:55:01.500000+00:00,37.785155,-75.82614516666666,1688.4849433999998,-0.018207636485289752,0.0009980116741356462,0.0004297032390771278,0.003360485963638333,0.0022413967563023464,-1.1976627438572286e-05,0.0002221198941829689,0.0012902920171930855,0.002027988944281502,0.0080522140356735,0.01783048153347944,0.0389935419921349,0.18333317140923444,0.09587022154565496,-0.027086903706738358,0.025534344386141706,0.05329791001548914,0.11623299640786208,0.3206132574460244,-0.028027472639901976,261.0538722229004,3.126716836964851,-1.6662178762227864e-05,0.8453540471196175,0.09577554613601848,-5.741505668521805e-05,0 days 00:00:04.500000002,4.500000002,2022-01-11 13:55:01.500000+00:00
2022-01-11 13:54:57.499999999+00:00,37.78247833333333,-75.82818333333333,,,,,,2022-01-11 13:55:01.500000+00:00,37.785155,-75.82614516666666,1688.4849433999998,-0.018207636485289752,0.0009980116741356462,0.0004297032390771278,0.003360485963638333,0.0022413967563023464,-1.1976627438572286e-05,0.0002221198941829689,0.0012902920171930855,0.002027988944281502,0.0080522140356735,0.01783048153347944,0.0389935419921349,0.18333317140923444,0.09587022154565496,-0.027086903706738358,0.025534344386141706,0.05329791001548914,0.11623299640786208,0.3206132574460244,-0.028027472639901976,261.0538722229004,3.126716836964851,-1.6662178762227864e-05,0.8453540471196175,0.09577554613601848,-5.741505668521805e-05,0 days 00:00:04.000000001,4.000000001,2022-01-11 13:55:01.500000+00:00
2022-01-11 13:54:57.999999999+00:00,37.7828125,-75.827927,,,,,,2022-01-11 13:55:01.500000+00:00,37.785155,-75.82614516666666,1688.4849433999998,-0.018207636485289752,0.0009980116741356462,0.0004297032390771278,0.003360485963638333,0.0022413967563023464,-1.1976627438572286e-05,0.0002221198941829689,0.0012902920171930855,0.002027988944281502,0.0080522140356735,0.01783048153347944,0.0389935419921349,0.18333317140923444,0.09587022154565496,-0.027086903706738358,0.025534344386141706,0.05329791001548914,0.11623299640786208,0.3206132574460244,-0.028027472639901976,261.0538722229004,3.126716836964851,-1.6662178762227864e-05,0.8453540471196175,0.09577554613601848,-5.741505668521805e-05,0 days 00:00:03.500000001,3.500000001,2022-01-11 13:55:01.500000+00:00
2022-01-11 13:54:58.500000+00:00,37.78314666666667,-75.827671,,,,,,2022-01-11 13:55:01.500000+00:00,37.785155,-75.82614516666666,1688.4849433999998,-0.018207636485289752,0.0009980116741356462,0.0004297032390771278,0.003360485963638333,0.0022413967563023464,-1.1976627438572286e-05,0.0002221198941829689,0.0012902920171930855,0.002027988944281502,0.0080522140356735,0.01783048153347944,0.0389935419921349,0.18333317140923444,0.09587022154565496,-0.027086903706738358,0.025534344386141706,0.05329791001548914,0.11623299640786208,0.3206132574460244,-0.028027472639901976,261.0538722229004,3.126716836964851,-1.6662178762227864e-05,0.8453540471196175,0.09577554613601848,-5.741505668521805e-05,0 days 00:00:03,3.0,2022-01-11 13:55:01.500000+00:00
2022-01-11 13:54:59+00:00,37.783481,-75.82741566666667,,,,,,2022-01-11 13:55:01.500000+00:00,37.785155,-75.82614516666666,1688.4849433999998,-0.018207636485289752,0.0009980116741356462,0.0004297032390771278,0.003360485963638333,0.0022413967563023464,-1.1976627438572286e-05,0.0002221198941829689,0.0012902920171930855,0.002027988944281502,0.0080522140356735,0.01783048153347944,0.0389935419921349,0.18333317140923444,0.09587022154565496,-0.027086903706738358,0.025534344386141706,0.05329791001548914,0.11623299640786208,0.3206132574460244,-0.028027472639901976,261.0538722229004,3.126716836964851,-1.6662178762227864e-05,0.8453540471196175,0.09577554613601848,-5.741505668521805e-05,0 days 00:00:02.500000,2.5,2022-01-11 13:55:01.500000+00:00
2022-01-11 13:54:59.500000+00:00,37.78381566666667,-75.82716066666667,,,,,,2022-01-11 13:55:01.500000+00:00,37.785155,-75.82614516666666,1688.4849433999998,-0.018207636485289752,0.0009980116741356462,0.0004297032390771278,0.003360485963638333,0.0022413967563023464,-1.1976627438572286e-05,0.0002221198941829689,0.0012902920171930855,0.002027988944281502,0.0080522140356735,0.01783048153347944,0.0389935419921349,0.18333317140923444,0.09587022154565496,-0.027086903706738358,0.025534344386141706,0.05329791001548914,0.11623299640786208,0.3206132574460244,-0.028027472639901976,261.0538722229004,3.126716836964851,-1.6662178762227864e-05,0.8453540471196175,0.09577554613601848,-5.741505668521805e-05,0 days 00:00:02,2.0,2022-01-11 13:55:01.500000+00:00
2022-01-11 13:55:00.000000001+00:00,37.78415033333333,-75.82690616666667,,,,,,2022-01-11 13:55:01.500000+00:00,37.785155,-75.82614516666666,1688.4849433999998,-0.018207636485289752,0.0009980116741356462,0.0004297032390771278,0.003360485963638333,0.0022413967563023464,-1.1976627438572286e-05,0.0002221198941829689,0.0012902920171930855,0.002027988944281502,0.0080522140356735,0.01783048153347944,0.0389935419921349,0.18333317140923444,0.09587022154565496,-0.027086903706738358,0.025534344386141706,0.05329791001548914,0.11623299640786208,0.3206132574460244,-0.028027472639901976,261.0538722229004,3.126716836964851,-1.6662178762227864e-05,0.8453540471196175,0.09577554613601848,-5.741505668521805e-05,0 days 00:00:01.499999999,1.499999999,2022-01-11 13:55:01.500000+00:00
2022-01-11 13:55:00.500000001+00:00,37.784485000000004,-75.82665216666666,,,,,,2022-01-11 13:55:01.500000+00:00,37.785155,-75.82614516666666,1688.4849433999998,-0.018207636485289752,0.0009980116741356462,0.0004297032390771278,0.003360485963638333,0.0022413967563023464,-1.1976627438572286e-05,0.0002221198941829689,0.0012902920171930855,0.002027988944281502,0.0080522140356735,0.01783048153347944,0.0389935419921349,0.18333317140923444,0.09587022154565496,-0.027086903706738358,0.025534344386141706,0.05329791001548914,0.11623299640786208,0.3206132574460244,-0.028027472639901976,261.0538722229004,3.126716836964851,-1.6662178762227864e-05,0.8453540471196175,0.09577554613601848,-5.741505668521805e-05,0 days 00:00:00.999999999,0.999999999,2022-01-11 13:55:01.500000+00:00
2022-01-11 13:55:00.999999998+00:00,37.784819999999996,-75.82639866666666,,,,,,2022-01-11 13:55:01.500000+00:00,37.785155,-75.82614516666666,1688.4849433999998,-0.018207636485289752,0.0009980116741356462,0.0004297032390771278,0.003360485963638333,0.0022413967563023464,-1.1976627438572286e-05,0.0002221198941829689,0.0012902920171930855,0.002027988944281502,0.0080522140356735,0.01783048153347944,0.0389935419921349,0.18333317140923444,0.09587022154565496,-0.027086903706738358,0.025534344386141706,0.05329791001548914,0.11623299640786208,0.3206132574460244,-0.028027472639901976,261.0538722229004,3.126716836964851,-1.6662178762227864e-05,0.8453540471196175,0.09577554613601848,-5.741505668521805e-05,0 days 00:00:00.500000002,0.500000002,2022-01-11 13:55:01.500000+00:00
2022-01-11 13:55:01.499999998+00:00,37.785155,-75.82614516666666,,,,,,2022-01-11 13:55:01.500000+00:00,37.785155,-75.82614516666666,1688.4849433999998,-0.018207636485289752,0.0009980116741356462,0.0004297032390771278,0.003360485963638333,0.0022413967563023464,-1.1976627438572286e-05,0.0002221198941829689,0.0012902920171930855,0.002027988944281502,0.0080522140356735,0.01783048153347944,0.0389935419921349,0.18333317140923444,0.09587022154565496,-0.027086903706738358,0.025534344386141706,0.05329791001548914,0.11623299640786208,0.3206132574460244,-0.028027472639901976,261.0538722229004,3.126716836964851,-1.6662178762227864e-05,0.8453540471196175,0.09577554613601848,-5.741505668521805e-05,0 days 00:00:00.000000002,2e-09,2022-01-11 13:55:01.500000+00:00
2022-01-11 13:55:01.999999999+00:00,37.785490333333335,-75.82589200000001,,,,,,2022-01-11 13:55:01.500000+00:00,37.785155,-75.82614516666666,1688.4849433999998,-0.018207636485289752,0.0009980116741356462,0.0004297032390771278,0.003360485963638333,0.0022413967563023464,-1.1976627438572286e-05,0.0002221198941829689,0.0012902920171930855,0.002027988944281502,0.0080522140356735,0.01783048153347944,0.0389935419921349,0.18333317140923444,0.09587022154565496,-0.027086903706738358,0.025534344386141706,0.05329791001548914,0.11623299640786208,0.3206132574460244,-0.028027472639901976,261.0538722229004,3.126716836964851,-1.6662178762227864e-05,0.8453540471196175,0.09577554613601848,-5.741505668521805e-05,0 days 00:00:00.499999999,0.499999999,2022-01-11 13:55:01.500000+00:00
2022-01-11 13:55:02.499999999+00:00,37.785825833333334,-75.825639,,,,,,2022-01-11 13:55:01.500000+00:00,37.785155,-75.82614516666666,1688.4849433999998,-0.018207636485289752,0.0009980116741356462,0.0004297032390771278,0.003360485963638333,0.0022413967563023464,-1.1976627438572286e-05,0.0002221198941829689,0.0012902920171930855,0.002027988944281502,0.0080522140356735,0.01783048153347944,0.0389935419921349,0.18333317140923444,0.09587022154565496,-0.027086903706738358,0.025534344386141706,0.05329791001548914,0.11623299640786208,0.3206132574460244,-0.028027472639901976,261.0538722229004,3.126716836964851,-1.6662178762227864e-05,0.8453540471196175,0.09577554613601848,-5.741505668521805e-05,0 days 00:00:00.999999999,0.999999999,2022-01-11 13:55:01.500000+00:00
